"TWO_MAN_DELIVERY","Two man delivery"
"PICKUP_SERVICE","Pickup service"
"IDEALO_MULTISTORE_MODE","NO: Everything will be imported into the default store.<br>YES: You have to configure the import for every scope correctly."
